Fertility_rate	Human_Development_Index
1.9	0.921
1.772	0.941
1.718	0.947
1.653	0.948
1.777	0.946
1.594	0.947
3.028	0.889
3.01	0.892
3.05	0.893
3.103	0.911
2.83	0.919
1.264	0.862
1.332	0.876
1.439	0.884
1.427	0.89
1.344	0.889
1.242	0.899
1.252	0.908
1.198	0.915
1.44	0.865
1.407	0.874
1.376	0.883
1.371	0.884
1.34	0.885
1.346	0.889
1.308	0.894
1.277	0.899
1.285	0.903
1.33	0.905
1.333	0.905
1.389	0.912
1.388	0.914
1.415	0.917
1.39	0.92
1.373	0.921
1.323	0.922
1.304	0.922
1.256	0.921
1.208	0.925
1.742	0.864
1.698	0.87
1.609	0.88
1.572	0.871
1.47	0.881
1.338	0.889
1.573	0.882
1.468	0.893
1.439	0.904
1.487	0.903
1.442	0.912
1.435	0.914
1.514	0.919
1.462	0.92
1.57	0.923
1.523	0.933
1.529	0.936
1.537	0.938
1.628	0.866
1.705	0.869
1.692	0.875
1.633	0.885
1.662	0.863
1.657	0.878
1.631	0.879
1.646	0.88
1.611	0.883
1.622	0.909
1.415	0.916
1.361	0.916
1.382	0.918
1.39	0.922
1.375	0.867
1.443	0.862
1.379	0.886
1.11	0.914
1.101	0.917
1.803	0.862
1.588	0.861
1.573	0.863
1.569	0.889
1.721	0.9
1.729	0.898
1.722	0.904
1.714	0.92
1.752	0.935
1.572	0.95
1.514	0.953
1.961	0.862
1.956	0.871
1.966	0.886
1.892	0.905
1.976	0.912
2.165	0.926
2.096	0.927
2.004	0.933
1.925	0.932
1.876	0.938
1.647	0.939
1.8944266	0.8665236
1.7720436	0.8702258
1.92	0.863
1.869	0.89
1.873	0.887
1.757	0.923
1.798	0.93
1.835	0.939
1.897	0.943
1.941	0.947
1.705	0.962
1.566	0.966
1.482	0.969
1.56	0.969
1.415	0.967
1.292	0.873
1.317	0.873
1.389	0.884
1.299	0.906
1.377	0.864
1.405	0.87
1.328	0.876
1.834	0.87
1.731	0.88
1.605	0.866
1.519	0.883
1.432	0.885
1.296	0.888
1.198	0.893
1.521	0.9
1.358	0.903
1.459	0.905
1.289	0.893
1.483	0.896
1.127	0.898
1.077	0.904
1.125	0.903
1.136	0.91
1.149	0.915
2.17	0.878
2.14	0.893
2.28	0.9
1.372	0.866
1.239	0.875
1.342	0.882
1.186	0.885
1.068	0.911
0.964	0.933
0.949	0.934
1.003	0.934
0.936	0.935
1.521	0.865
1.566	0.871
1.317	0.883
1.611	0.923
1.594	0.918
1.64	0.924
1.568	0.926
1.576	0.931
1.145	0.871
1.19	0.878
1.206	0.905
1.197	0.91
1.202	0.914
0.881	0.927
0.783	0.933
1.436	0.865
1.381	0.867
1.34	0.879
1.277	0.886
1.332	0.9
1.213	0.918
1.878	0.862
1.6	0.877
1.527	0.888
1.506	0.901
1.501	0.906
1.569	0.915
1.648	0.918
1.751	0.908
1.772	0.911
1.902	0.92
1.876	0.943
1.847	0.945
1.846	0.947
1.754	0.95
1.709	0.955
1.671	0.951
1.668	0.958
1.488	0.87
1.477	0.88
1.469	0.886
1.383	0.896
1.432	0.918
1.492	0.942
1.517	0.945
1.52	0.949
1.514	0.952
1.534	0.956
1.537	0.957
1.519	0.96
1.513	0.962
1.433	0.97
1.366	0.861
1.288	0.901
1.162	0.903
1.682	0.862
1.641	0.87
1.624	0.876
1.698	0.886
1.747	0.897
1.893	0.915
1.911	0.916
1.909	0.917
1.801	0.931
1.571	0.93
2.059	0.878
2.039	0.882
1.98	0.895
2.003	0.898
2.04	0.907
2.053	0.914
1.987	0.915
1.879	0.92
1.832	0.928
1.804	0.929
1.616	0.925
1.409	0.862
