emissions_total_per_capita	renewable_share_of_electricity__pct
4.6390934	40.0
4.77735	25.0
4.222279	25.0
4.5926905	50.0
1.6161269	98.6014
1.5398297	99.12511
1.5113176	100.0
1.621601	95.74646
0.44888514	31.02518
4.472901	66.00791
5.40629	16.730038
5.3342433	20.222635
0.043051984	100.0
5.972235	68.68587
5.3214316	78.54954
4.8519464	82.050385
5.051886	79.28311
4.816581	81.427345
4.5837965	87.60036
2.3659525	18.181818
2.3328595	25.0
2.3999047	25.0
2.2539744	72.38292
1.8756075	79.64206
2.16058	81.19552
2.4011562	80.83458
1.0068917	77.85977
1.2138822	71.10016
1.0577208	84.518166
1.211914	84.40945
1.304408	63.434906
4.362631	32.59259
3.3138647	32.142857
6.917965	48.848686
7.802623	39.91655
8.708775	31.685394
7.3282313	44.290123
0.8839588	95.918365
0.9502872	91.83673
0.9400464	92.452835
0.88582075	93.103455
0.1401208	100.0
0.13231507	99.93565
14.221595	48.57143
14.283498	39.473686
14.42602	39.02439
14.632135	38.095238
1.4780109	56.730766
1.0972939	60.784313
6.8179035	51.89197
6.821489	52.946888
6.5299587	53.374146
5.6456437	51.92886
4.7926087	19.984798
4.25596	23.713062
4.6245623	22.171526
4.4283843	24.310215
4.101157	26.290094
3.143086	29.411764
3.130068	32.857143
3.1985233	32.857143
2.3507752	43.66812
2.42184	42.016804
2.327388	42.735043
2.400404	42.016804
2.8674045	76.05397
2.7860782	74.731186
2.9285443	81.17088
3.091041	76.07789
7.752807	44.37406
0.49580094	40.710934
0.52523965	42.31214
0.63182783	34.782608
0.61199224	34.0
5.436849	40.800148
5.577904	43.479946
5.388754	50.101254
9.716159	75.92593
9.582454	79.36508
10.499258	76.78571
1.0995575	67.22628
0.30081806	63.90244
0.33650035	71.96532
0.3009134	67.333336
0.29839563	66.44737
0.31075293	18.269232
0.28168207	16.037737
1.0098408	64.15095
0.94135344	57.196613
0.9900977	62.760414
4.8318176	15.807561
4.9785724	19.141275
10.393721	100.0
1.7264521	19.954615
2.129469	19.513695
2.3993292	16.260492
2.213211	18.124186
2.23886	18.166538
2.6434436	19.610842
2.6075745	18.594606
8.006022	33.00971
7.4664645	36.71207
7.1842723	38.832638
5.6483135	39.942757
5.0507216	42.231133
5.714151	35.80869
5.2682986	43.720013
8.725205	17.576868
8.449326	21.181513
8.261658	21.956364
7.95029	23.830055
1.9291415	18.937197
1.8649886	22.98689
1.799406	22.862368
0.37520593	89.1748
0.38661912	90.61962
0.4209686	94.22414
0.41928962	92.12925
1.7616013	90.949936
1.2527564	90.77922
1.5140777	85.60105
2.884135	65.078445
2.6362908	63.476315
2.6531994	71.596596
3.0592737	73.552986
3.1004407	72.99238
3.9956133	49.53416
3.6810806	63.636368
3.4600034	76.64
1.08566	100.0
1.0812736	100.0
0.9718533	100.0
1.5148556	100.0
0.15140018	62.352936
0.1474119	67.0886
4.956657	60.93023
4.366298	76.43885
15.741836	74.76635
12.806264	79.508194
10.5150585	92.105255
1.5127505	33.92857
1.472118	40.816326
0.13575959	48.80383
0.13728699	41.2037
0.15004274	37.554585
0.092995554	81.56425
0.09051806	99.346405
0.094012946	93.84616
0.084993675	94.07407
7.7663965	18.18289
7.967726	19.739931
8.2224455	19.158428
0.25429645	42.899406
0.2969476	32.80757
0.30288965	39.733334
3.4193249	21.011675
1.0263102	29.655172
1.0341662	29.48718
0.93888414	30.0
3.7601306	15.891784
3.7231612	16.690367
3.500515	24.887878
3.6181056	24.048254
3.8974926	59.210526
4.049645	56.26822
3.9600255	52.212387
3.889522	53.172207
3.6754034	60.243904
1.7384603	19.8206
1.898318	19.787024
1.7648122	19.175259
0.24157462	81.79697
0.2071267	83.49106
0.65076345	58.1793
0.63867646	56.26294
0.55444026	49.374687
1.6334617	98.581566
1.404347	96.5
1.3879759	97.35099
1.4136248	96.296295
0.44873935	100.0
0.5396416	100.0
0.541436	100.0
9.071813	16.693192
8.691241	18.992086
7.7491956	26.836668
7.106702	40.247757
20.005596	15.835778
17.817152	16.78832
7.285045	83.398125
7.3620214	82.42286
6.7198505	82.10432
5.8226275	87.331535
0.8055015	56.9869
0.70987344	69.920845
0.78687125	68.604645
0.6388198	25.634058
0.60513747	22.09866
0.61808836	22.212978
0.5640604	20.541206
2.4137077	51.248993
2.5079155	53.430355
2.056673	63.23817
4.0298004	22.82794
3.505421	29.582577
3.8731613	26.923079
4.0665092	32.45228
7.5864964	99.31903
7.47844	98.65547
0.9269328	25.678188
0.8995737	29.334534
1.0351748	25.236254
0.8107599	27.333126
0.70096153	22.47191
2.2800763	77.76786
3.1001267	52.749138
0.83106965	27.917622
0.8014462	28.87828
0.81192154	26.190477
1.1171713	100.0
1.2168084	100.0
1.1992521	100.0
1.4289497	63.74834
1.568856	61.810814
1.6505452	58.86868
1.2861164	23.370764
1.2953051	20.78657
8.311783	15.598578
7.92311	17.96373
8.700768	17.09268
7.4628654	27.146667
4.97228	50.402744
4.024724	58.591167
3.8768623	64.07964
3.5690997	72.8164
4.0636744	40.877167
3.8009787	44.57526
3.569303	50.390903
11.694962	17.309929
11.635815	17.548471
11.15608	19.923162
12.485692	17.566477
0.10309137	40.74074
0.10744573	48.837208
0.10499269	62.5
2.3013074	23.529411
2.281156	23.529411
2.2286887	23.529411
1.2926443	37.5
1.1485088	40.0
1.1679227	31.578947
0.6445196	16.831684
6.3562794	29.920214
6.253774	35.909206
0.12984261	95.0
0.129658	95.0
0.15435511	95.0
6.643141	21.792948
5.7645545	21.929163
5.5706987	22.915964
6.738732	31.718061
6.114485	33.0373
6.004816	30.464075
5.347735	38.764782
5.703422	38.271923
4.4430604	43.854782
4.6255174	50.075996
0.9031052	45.401554
0.87160707	37.05409
0.88446397	50.388237
0.46384126	59.7561
0.4622384	62.655365
3.4853392	56.424583
4.3514423	51.87166
4.7658405	48.768475
4.23634	48.32536
3.7090452	67.3827
3.464577	69.15725
4.32806	58.65138
4.2810693	59.869633
3.9613538	62.198864
4.109331	66.59271
3.7327585	58.77629
3.6905727	63.450417
0.91206217	91.45993
0.88055193	89.36782
0.25089064	31.9236
0.27675864	33.29049
0.2665194	41.528664
0.29072848	37.02422
0.2740748	32.594234
3.7244093	15.009072
3.799712	15.780426
0.28130147	21.739132
0.300787	25.882353
0.29509643	25.0
4.9997516	32.257206
4.7177076	43.797054
5.023125	41.911034
4.9510155	42.008816
0.13350488	93.661964
0.13398354	98.00884
0.12532045	98.67257
0.119163275	98.88683
3.6164997	19.738136
5.6886287	33.062843
5.0911255	39.585293
4.603082	41.38428
4.4428277	46.015198
15.578155	18.294624
13.889589	20.315693
14.870763	22.350597
1.9346937	97.535934
